school,afdeling,cap_2020,cap_2021,cap_2022,cap_2023,cap_2024,cap_2025,vk_1,vk_2,vk_3,gpl_2020,gpl_2021,gpl_2022,gpl_2023,gpl_2024,gpl_2025,nvk_1,nvk_2,nvk_3,nvk_4plus
Alasca,vwo,56.0,56.0,56.0,84.0,56.0,57,28,30,38,56.0,58.0,58.0,84.0,58.0,57,28,14,6,9
Barlaeus Gymnasium,vwo,135.0,140.0,140.0,140.0,140.0,140,254,222,180,139.0,146.0,146.0,146.0,146.0,146,138,6,1,1
Berlage Lyceum - tto,vwo,56.0,56.0,56.0,56.0,28.0,56,18,32,41,56.0,58.0,58.0,32.0,29.0,50,19,9,5,17
Calandlyceum,vwo,28.0,22.0,0.0,,28.0,24,10,9,20,7.0,16.0,0.0,0.0,2.0,11,10,0,0,1
Cartesius Lyceum - De Plaats,vwo,0.0,0.0,0.0,0.0,15.0,25,1,4,5,0.0,0.0,0.0,0.0,3.0,1,1,0,0,0
Cartesius Lyceum - Het Lyceum,vwo,84.0,56.0,56.0,56.0,40.0,40,21,26,32,48.0,45.0,42.0,39.0,25.0,30,21,5,2,2
Comenius Lyceum Amsterdam,vwo,26.0,22.0,52.0,78.0,84.0,71,66,45,22,22.0,20.0,44.0,78.0,84.0,71,66,1,3,1
Cornelius Haga Lyceum,vwo,0.0,0.0,40.0,40.0,40.0,40,15,4,7,0.0,0.0,6.0,9.0,9.0,16,15,1,0,0
Cygnus Gymnasium,vwo,140.0,140.0,172.0,140.0,172.0,168,152,119,123,140.0,146.0,179.0,142.0,179.0,175,125,22,16,12
Damstede Lyceum,vwo,64.0,32.0,56.0,56.0,56.0,56,10,11,3,26.0,21.0,36.0,28.0,25.0,14,10,3,0,1
DENISE,vwo,0.0,0.0,6.0,2.0,4.0,4,2,3,2,0.0,0.0,5.0,2.0,4.0,3,2,0,0,1
Fons Vitae Lyceum,vwo,84.0,84.0,84.0,84.0,84.0,84,110,160,207,84.0,87.0,87.0,87.0,87.0,87,62,18,6,1
Geert Groote College,vwo,41.0,56.0,56.0,56.0,58.0,58,22,23,17,28.0,58.0,58.0,56.0,60.0,47,22,7,2,16
Gerrit van der Veen College,vwo,29.0,29.0,45.0,76.0,55.0,55,33,52,46,29.0,30.0,47.0,67.0,57.0,57,31,11,3,12
Hervormd Lyceum West,vwo,,,,,,30,13,39,34,,,,,,15,13,0,0,2
Het 4e Gymnasium,vwo,140.0,140.0,143.0,140.0,140.0,173,88,97,97,141.0,146.0,149.0,146.0,146.0,176,87,30,11,48
Het Amsterdams Lyceum,vwo,172.0,171.0,189.0,165.0,172.0,192,273,215,205,175.0,178.0,197.0,171.0,179.0,200,173,24,3,0
Hervormd Lyceum Zuid,vwo,28.0,28.0,28.0,28.0,56.0,58,21,43,68,28.0,29.0,29.0,29.0,58.0,60,19,13,10,18
Hyperion Lyceum,vwo,140.0,140.0,140.0,145.0,145.0,150,175,122,103,141.0,146.0,146.0,150.0,151.0,153,125,20,5,3
Ignatiusgymnasium,vwo,145.0,145.0,140.0,140.0,140.0,140,164,172,158,148.0,149.0,146.0,144.0,146.0,145,118,20,4,3
Ir. Lely Lyceum,vwo,,,,40.0,51.0,50,24,19,6,,,,40.0,48.0,26,24,2,0,0
Kairos Tienercollege,vwo,,,,,,19,18,9,6,,,,,,19,17,1,1,0
Lumion,vwo,43.0,56.0,78.0,56.0,23.0,38,36,22,24,43.0,52.0,72.0,56.0,24.0,38,35,2,0,1
Marcanti College,vwo,15.0,15.0,15.0,5.0,15.0,15,2,4,1,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
Metis Montessori Lyceum - Coderclass of Kunst & Co,vwo,26.0,54.0,56.0,52.0,54.0,54,77,81,78,54.0,58.0,58.0,54.0,56.0,56,50,3,3,0
Metis Montessori Lyceum - Technasium,vwo,27.0,28.0,28.0,26.0,27.0,27,92,107,91,29.0,0.0,29.0,27.0,28.0,27,24,3,0,0
Metropolis Lyceum,vwo,0.0,0.0,0.0,40.0,30.0,30,9,9,8,0.0,0.0,0.0,10.0,17.0,12,9,1,1,1
